Tom wandelt snel. 	 Tom walks quickly.
Voelt u zich duizelig? 	 Do you feel light-headed?
Bent u hier met iemand? 	 Are you here with anyone?
Heb je Tom vermoord? 	 Did you kill Tom?
Tom wil wraak. 	 Tom wants revenge.
Kent gij het verschil tussen een microscoop en een telescoop? 	 Do you know the difference between a microscope and a telescope?
Ze zijn bang voor hem. 	 They're afraid of him.
Tom heeft de tomaat gesneden. 	 Tom sliced the tomato.
Ik verheug me op mijn verjaardag. 	 I look forward to my birthday.
Meer dan twintig jongens gingen erheen. 	 More than twenty boys went there.
Ik vond dat leuk. 	 I found that entertaining.
Vandaag is het koud. 	 Today's cold.
In Japan wonen is duur. 	 It is expensive to live in Japan.
Ik ben een beetje in de war. 	 I'm a bit confused.
Ik woon bij mijn ouders. 	 I'm living with my parents.
Let op voor zakkenrollers. 	 Beware of pickpockets.
Hij ging de kamer in met zijn hoed af. 	 He entered the room with his hat off.
Je hebt een heel goede stem. 	 You have a very good voice.
Wat is uw volledige naam? 	 What's your full name?
Je voorstel is een beetje extreem. 	 Your proposal is a bit extreme.
Ze zagen het jongetje weggedragen worden naar het ziekenhuis. 	 They saw the boy carried away to the hospital.
Wat heb je met mijn bagage gedaan? 	 What did you do with my baggage?
Ik zal nog een handdoek brengen. 	 I'll bring one more towel.
Wat zijn jullie saai. 	 You guys are so boring.
Wij moeten het hier nu niet over hebben. 	 We don't have to talk about this now.
Ik ben tamelijk zeker dat die toren driehonderd dertig meter hoog is. 	 I'm pretty sure that tower is 330 meters tall.
Je moet ons helpen. 	 You have to help us.
Tom wilde hier blijven. 	 Tom wanted to stay here.
Hij heeft ingebroken in een huis. 	 He broke into a house.
Wat is de mooiste plek van de wereld? 	 What's the most beautiful place in the world?
Ik heb vandaag een vergadering. 	 I have a meeting today.
Die jongen spreekt alsof hij een volwassene is. 	 That boy talks as if he were a grown up.
Ik ging via de Verenigde Staten naar Europa. 	 I went to Europe by way of the United States.
Ik ben kleiner dan jij. 	 I'm shorter than you.
Mijn kantoor is op de vijfde verdieping. 	 My office is on the fifth floor.
Tom leek zenuwachtig. 	 Tom looked nervous.
De prijs van rijst steeg met drie procent. 	 The price of rice rose by three percent.
Waar heb je Tom ontmoet? 	 Where did you meet Tom?
Ik voel me veel beter. 	 I feel much better.
Tom werd vader. 	 Tom became a father.
Ik schaamde me. 	 I was embarrassed.
Ik besloot om Tom te helpen. 	 I decided to help Tom.
Ze heeft de hele nacht dat boek gelezen. 	 She read the book all night.
Probeer niet te wenen. 	 Try not to cry.
Hij is een agent van het FBI. 	 He is an FBI agent.
Een gewaarschuwd mens telt voor twee. 	 Forewarned is forearmed.
Dat is een duur restaurant. 	 That's an expensive restaurant.
Ze voelde zich nogal moe. 	 She was feeling kind of tired.
Jij bent geen dokter. 	 You're not a doctor.
Wanneer werd je dochter volwassen? 	 When did your daughter come of age?
Soms haat ik mezelf. 	 I hate myself sometimes.
Ik heb oorpijn. 	 I have an earache.
Tom ziet er niet zo gezond uit. 	 Tom doesn't look very healthy.
Zij praten in de keuken. 	 They are talking in the kitchen.
Ze is kalm. 	 Her mind is at peace.
Hij stelde me een vraag. 	 He asked me a question.
